Date,Open,High,Low,Close,Volume,Adj Close
2016-03-08,199.320007,199.919998,198.210007,198.399994,121391000,198.399994
2016-03-07,199.339996,201.070007,199.25,200.589996,95869500,200.589996
2016-03-04,200.009995,201.350006,199.029999,200.429993,125451100,200.429993
2016-03-03,198.789993,199.800003,198.110001,199.779999,94146200,199.779999
2016-03-02,197.740005,199.059998,197.25,199.00,96356000,199.00
2016-03-01,195.009995,198.210007,194.449997,198.110001,137593000,198.110001
2016-02-29,195.110001,196.229996,193.330002,193.350006,116294300,193.350006
2016-02-26,196.570007,196.679993,194.899994,195.089996,122978000,195.089996
2016-02-25,193.729996,195.550003,192.830002,195.539993,107512400,195.539993
2016-02-24,192.320007,193.529999,189.320007,193.199997,148044600,193.199997
2016-02-23,194.00,194.320007,192.179993,192.320007,104604800,192.320007
2016-02-22,193.869995,194.949997,193.789993,194.779999,99411500,194.779999
2016-02-19,191.169998,192.179993,190.449997,192.00,111764300,192.00
2016-02-18,193.199997,193.270004,191.720001,192.089996,98872300,192.089996
2016-02-17,191.160004,193.320007,191.009995,192.880005,131884500,192.880005
2016-02-16,188.770004,189.809998,187.630005,189.779999,112124300,189.779999
2016-02-12,184.960007,186.649994,183.960007,186.630005,124459300,186.630005
2016-02-11,182.339996,184.100006,181.089996,182.860001,210592800,182.860001
2016-02-10,186.410004,188.339996,185.119995,185.270004,145851100,185.270004
2016-02-09,183.360001,186.940002,183.199997,185.429993,176478700,185.429993
2016-02-08,185.770004,186.119995,182.800003,185.419998,185762900,185.419998
2016-02-05,190.990005,191.669998,187.199997,187.949997,172668500,187.949997
2016-02-04,190.710007,192.75,189.960007,191.600006,136318100,191.600006
2016-02-03,191.410004,191.779999,187.100006,191.300003,203820400,191.300003
2016-02-02,191.960007,191.970001,189.539993,190.160004,172941200,190.160004
2016-02-01,192.529999,194.580002,191.839996,193.649994,130514800,193.649994
2016-01-29,190.020004,193.880005,189.880005,193.720001,195455400,193.720001
2016-01-28,189.960007,190.199997,187.160004,189.110001,139970600,189.110001
2016-01-27,189.580002,191.559998,187.059998,188.130005,181677100,188.130005
2016-01-26,188.419998,190.529999,188.020004,190.199997,137269900,190.199997
2016-01-25,189.919998,190.149994,187.410004,187.639999,122676200,187.639999
2016-01-22,189.779999,190.759995,188.880005,190.520004,163849600,190.520004
2016-01-21,186.210007,188.869995,184.639999,186.690002,189174000,186.690002
2016-01-20,185.029999,187.50,181.020004,185.649994,280016900,185.649994
2016-01-19,189.960007,190.110001,186.199997,188.059998,190196000,188.059998
2016-01-15,186.770004,188.759995,185.520004,187.809998,324846400,187.809998
2016-01-14,189.550003,193.259995,187.660004,191.929993,240795600,191.929993
2016-01-13,194.449997,194.860001,188.380005,188.830002,221168900,188.830002
2016-01-12,193.820007,194.550003,191.139999,193.660004,172330500,193.660004
2016-01-11,193.009995,193.410004,189.820007,192.110001,187941300,192.110001
2016-01-08,195.190002,195.850006,191.580002,191.919998,209817200,191.919998
2016-01-07,195.330002,197.440002,193.589996,194.050003,213436100,194.050003
2016-01-06,198.339996,200.059998,197.600006,198.820007,152112600,198.820007
2016-01-05,201.399994,201.899994,200.050003,201.360001,110845800,201.360001
2016-01-04,200.490005,201.029999,198.589996,201.020004,222353500,201.020004
2015-12-31,205.130005,205.889999,203.869995,203.869995,114877900,203.869995
2015-12-30,207.110001,207.210007,205.759995,205.929993,63317700,205.929993
2015-12-29,206.509995,207.789993,206.470001,207.399994,92640700,207.399994
2015-12-28,204.860001,205.259995,203.940002,205.210007,65899900,205.210007
2015-12-24,205.720001,206.330002,205.419998,205.679993,48542200,205.679993
2015-12-23,204.690002,206.070007,204.580002,206.020004,110987200,206.020004
2015-12-22,202.720001,203.850006,201.550003,203.50,111026200,203.50
2015-12-21,201.410004,201.880005,200.089996,201.669998,99094300,201.669998
2015-12-18,202.770004,202.929993,199.830002,200.020004,251393500,200.020004
2015-12-17,208.399994,208.479996,204.839996,204.860001,173092500,203.648
2015-12-16,206.369995,208.389999,204.800003,208.029999,197017000,206.799244
2015-12-15,204.699997,206.110001,202.869995,205.029999,154069600,203.816993
2015-12-14,202.070007,203.050003,199.949997,202.899994,182385200,201.699589
2015-12-11,203.350006,204.139999,201.509995,201.880005,211173300,200.685635
2015-12-10,205.419998,207.429993,205.139999,205.869995,116128900,204.652019
2015-12-09,206.190002,208.679993,204.179993,205.339996,162401500,204.125156
2015-12-08,206.490005,208.289993,205.779999,206.949997,103372400,205.725632
2015-12-07,209.229996,209.729996,207.199997,208.350006,102027100,207.117358
2015-12-04,205.610001,209.970001,205.610001,209.619995,192913900,208.379833
2015-12-03,208.830002,209.149994,204.75,205.610001,166224200,204.393563
2015-12-02,210.619995,211.00,208.229996,208.529999,108441300,207.296286
2015-12-01,209.440002,210.820007,209.110001,210.679993,97858400,209.43356
2015-11-30,209.75,209.889999,208.559998,208.690002,112822700,207.455343
2015-11-27,209.429993,209.800003,208.860001,209.559998,37317800,208.320191
2015-11-25,209.50,209.740005,209.009995,209.320007,51980100,208.08162
2015-11-24,207.869995,209.830002,207.410004,209.350006,98874400,208.111442
